Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-01-30,Kerala,1,0,0,0,
2020-01-30,India,1,0,0,0,
2020-02-02,Kerala,2,0,0,0,
2020-02-02,India,2,0,0,0,
2020-02-03,Kerala,3,0,0,0,
2020-02-03,India,3,0,0,0,
2020-02-14,Kerala,3,3,0,0,
2020-02-14,India,3,3,0,0,
2020-03-02,Delhi,1,0,0,0,
2020-03-02,Kerala,3,3,0,0,
2020-03-02,Telangana,1,0,0,0,
2020-03-02,India,5,3,0,0,
2020-03-03,Delhi,1,0,0,0,
2020-03-03,Kerala,3,3,0,0,
2020-03-03,Rajasthan,1,0,0,0,
2020-03-03,Telangana,1,0,0,0,
2020-03-03,India,6,3,0,0,
2020-03-04,Delhi,1,0,0,0,
2020-03-04,Haryana,14,0,0,0,
2020-03-04,Kerala,3,3,0,0,
2020-03-04,Rajasthan,2,0,0,0,
2020-03-04,Telangana,1,0,0,0,
2020-03-04,India,28,3,0,0,
2020-03-04,Uttar Pradesh,7,0,0,0,
2020-03-05,Delhi,2,0,0,0,
2020-03-05,Haryana,14,0,0,0,
2020-03-05,Kerala,3,3,0,0,
2020-03-05,Rajasthan,2,0,0,0,
2020-03-05,Telangana,1,0,0,0,
2020-03-05,India,30,3,0,0,
2020-03-05,Uttar Pradesh,8,0,0,0,
2020-03-06,Delhi,3,0,0,0,
2020-03-06,Haryana,14,0,0,0,
2020-03-06,Kerala,3,3,0,0,
2020-03-06,Rajasthan,2,0,0,0,
2020-03-06,Telangana,1,0,0,0,
2020-03-06,India,31,3,0,0,
2020-03-06,Uttar Pradesh,8,0,0,0,
2020-03-07,Delhi,3,0,0,0,
2020-03-07,Haryana,14,0,0,0,
2020-03-07,Kerala,3,3,0,0,
2020-03-07,Ladakh,2,0,0,0,
2020-03-07,Rajasthan,2,0,0,0,
2020-03-07,Telangana,1,0,0,0,
2020-03-07,Tamil Nadu,1,0,0,0,
2020-03-07,India,34,3,0,0,
2020-03-07,Uttar Pradesh,8,0,0,0,
2020-03-08,Delhi,3,0,0,0,
2020-03-08,Haryana,14,0,0,0,
2020-03-08,Kerala,8,3,0,0,
2020-03-08,Ladakh,2,0,0,0,
2020-03-08,Rajasthan,2,0,0,0,
2020-03-08,Telangana,1,0,0,0,
2020-03-08,Tamil Nadu,1,0,0,0,
2020-03-08,India,39,3,0,0,
2020-03-08,Uttar Pradesh,8,0,0,0,
2020-03-09,Delhi,4,0,0,0,
2020-03-09,Haryana,14,0,0,0,
2020-03-09,Jammu and Kashmir,1,0,0,0,
2020-03-09,Karnataka,1,0,0,0,
2020-03-09,Kerala,9,3,0,0,
2020-03-09,Ladakh,2,0,0,0,
2020-03-09,Maharashtra,2,0,0,0,
2020-03-09,Punjab,1,0,0,0,
2020-03-09,Rajasthan,2,0,0,0,
2020-03-09,Telangana,1,0,0,0,
2020-03-09,Tamil Nadu,1,0,0,0,
2020-03-09,India,48,3,0,0,
2020-03-09,Uttar Pradesh,10,0,0,0,
2020-03-10,Delhi,4,0,0,0,
2020-03-10,Haryana,14,0,0,0,
2020-03-10,Jammu and Kashmir,1,0,0,0,
2020-03-10,Karnataka,4,0,0,0,
2020-03-10,Kerala,17,3,0,0,
2020-03-10,Ladakh,2,0,0,0,
2020-03-10,Maharashtra,5,0,0,0,
2020-03-10,Punjab,1,0,0,0,
2020-03-10,Rajasthan,3,0,0,0,
2020-03-10,Telangana,1,0,0,0,
2020-03-10,Tamil Nadu,1,0,0,0,
2020-03-10,India,63,3,0,0,
2020-03-10,Uttar Pradesh,10,0,0,0,
2020-03-11,Delhi,5,0,0,0,
2020-03-11,Haryana,14,0,0,0,
2020-03-11,Jammu and Kashmir,1,0,0,0,
2020-03-11,Karnataka,4,0,0,0,
2020-03-11,Kerala,17,3,0,0,
2020-03-11,Ladakh,3,0,0,0,
2020-03-11,Maharashtra,11,0,0,0,
2020-03-11,Punjab,1,0,0,0,
2020-03-11,Rajasthan,3,0,0,0,
2020-03-11,Telangana,1,0,0,0,
2020-03-11,Tamil Nadu,1,0,0,0,
2020-03-11,India,71,3,0,0,
2020-03-11,Uttar Pradesh,10,0,0,0,
2020-03-12,Andhra Pradesh,1,0,0,0,
2020-03-12,Delhi,6,0,0,0,
2020-03-12,Haryana,14,0,0,0,
2020-03-12,Jammu and Kashmir,1,0,0,0,
2020-03-12,Karnataka,5,0,0,0,
2020-03-12,Kerala,19,3,0,0,
2020-03-12,Ladakh,3,0,0,0,
2020-03-12,Maharashtra,14,0,0,0,
2020-03-12,Punjab,1,0,0,0,
2020-03-12,Rajasthan,3,0,0,0,
2020-03-12,Telangana,1,0,0,0,
2020-03-12,Tamil Nadu,1,0,0,0,
2020-03-12,India,81,3,0,0,
2020-03-12,Uttar Pradesh,12,0,0,0,
2020-03-13,Andhra Pradesh,1,0,0,0,
2020-03-13,Delhi,7,0,0,0,
2020-03-13,Haryana,14,0,0,0,
2020-03-13,Jammu and Kashmir,2,0,0,0,
2020-03-13,Karnataka,6,0,1,0,
2020-03-13,Kerala,22,3,0,0,
2020-03-13,Ladakh,3,0,0,0,
2020-03-13,Maharashtra,17,0,0,0,
2020-03-13,Punjab,1,0,0,0,
2020-03-13,Rajasthan,3,0,0,0,
2020-03-13,Telangana,1,0,0,0,
2020-03-13,Tamil Nadu,1,0,0,0,
2020-03-13,India,91,3,1,0,6500
2020-03-13,Uttar Pradesh,13,0,0,0,
2020-03-14,Andhra Pradesh,1,0,0,0,
2020-03-14,Delhi,7,0,0,0,
2020-03-14,Himachal Pradesh,0,0,0,3,
2020-03-14,Haryana,14,0,0,0,
2020-03-14,Jammu and Kashmir,2,0,0,0,
2020-03-14,Karnataka,6,0,1,0,
2020-03-14,Kerala,22,3,0,0,
2020-03-14,Ladakh,3,0,0,0,
2020-03-14,Maharashtra,26,0,0,0,
2020-03-14,Punjab,1,0,0,0,
2020-03-14,Rajasthan,4,0,0,0,
2020-03-14,Telangana,2,0,0,0,
2020-03-14,Tamil Nadu,1,0,0,0,
2020-03-14,India,102,3,1,3,6500
2020-03-14,Uttar Pradesh,13,0,0,0,
2020-03-15,Andhra Pradesh,1,0,0,0,
2020-03-15,Delhi,7,0,0,0,
2020-03-15,Himachal Pradesh,0,0,0,3,
2020-03-15,Haryana,14,0,0,0,
2020-03-15,Jammu and Kashmir,2,0,0,0,
2020-03-15,Karnataka,6,0,1,0,
2020-03-15,Kerala,24,3,0,0,
2020-03-15,Ladakh,3,0,0,0,
2020-03-15,Maharashtra,32,0,0,0,
2020-03-15,Punjab,1,0,0,0,
2020-03-15,Rajasthan,4,0,0,0,
2020-03-15,Telangana,3,0,0,0,
2020-03-15,Tamil Nadu,1,0,0,0,
2020-03-15,India,112,3,1,3,6500
2020-03-15,Uttar Pradesh,13,0,0,0,
2020-03-15,Uttarakhand,1,0,0,0,
2020-03-16,Andhra Pradesh,1,0,0,0,
2020-03-16,Delhi,7,0,0,0,
2020-03-16,Himachal Pradesh,0,0,0,3,
2020-03-16,Haryana,14,0,0,0,
2020-03-16,Jammu and Kashmir,3,0,0,0,
2020-03-16,Karnataka,7,0,1,0,
2020-03-16,Kerala,27,3,0,0,
2020-03-16,Ladakh,3,0,0,0,
2020-03-16,Maharashtra,39,0,0,0,
2020-03-16,Odisha,1,0,0,0,
2020-03-16,Punjab,1,0,0,0,
2020-03-16,Rajasthan,4,0,0,0,
2020-03-16,Telangana,4,0,0,0,
