SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,0,0,0,0,0,0,0,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,51,19,32,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,434,0,434,0,0,0,0,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,139251,3713,134618,920,0,0,0,0,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,192625,17459,173856,1310,0,0,0,0,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,228067,30267,196825,975,0,0,0,0,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,150581,8874,140752,955,0,0,0,0,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,89269,9981,78308,980,0,0,0,0,0,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,115501,4244,110520,737,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Other State,Other State,2461,0,2461,0,0,0,0,0,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,108041,19184,88054,803,0,0,0,0,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,118501,12197,105482,822,0,0,0,0,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,109677,8014,101082,581,0,0,0,0,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,138157,12134,125078,945,0,0,0,0,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,74555,4873,69118,564,0,0,0,0,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,142088,11481,129719,888,0,0,0,0,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,95180,4316,90310,554,0,0,0,0,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,484,108,376,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,2261,416,1838,7,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,480,100,380,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,1608,180,1418,10,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,135,39,96,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,66,14,52,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,158,33,125,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,386,40,345,1,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,1129,187,936,6,0,0,0,0,0,,
