SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,0,0,0,0,0,0,0,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,51,19,32,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,434,0,434,0,0,0,0,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,139251,3713,134618,920,0,953,-230,1174,9,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,192625,17459,173856,1310,0,1536,-840,2362,14,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,228067,30267,196825,975,0,2477,-279,2748,8,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,150581,8874,140752,955,0,686,-693,1370,9,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,89269,9981,78308,980,0,647,-191,832,6,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,115501,4244,110520,737,0,286,-738,1018,6,,
0,AP,Andhra Pradesh,AP_Other State,Other State,2461,0,2461,0,0,0,0,0,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,108041,19184,88054,803,0,935,-145,1076,4,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,118501,12197,105482,822,0,444,-797,1237,4,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,109677,8014,101082,581,0,693,-651,1338,6,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,138157,12134,125078,945,0,985,-1188,2166,7,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,74555,4873,69118,564,0,222,-685,901,6,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,142088,11481,129719,888,0,1116,-508,1604,20,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,95180,4316,90310,554,0,323,-113,431,5,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,463,92,371,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,2231,431,1793,7,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,468,88,380,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,1591,170,1411,10,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,135,48,87,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,66,14,52,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,157,34,123,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,380,34,345,1,0,0,0,0,0,,
